City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Castro,BR,2021-04-02 21:26:31,-24.7911,-50.0119,63.36,74,6,5.1
59,Woodstock,CA,2021-04-02 21:26:32,43.1334,-80.7497,39.99,28,0,12.66
60,Touros,BR,2021-04-02 21:26:32,-5.1989,-35.4608,80.6,78,20,4.61
61,Olafsvik,IS,2021-04-02 21:26:32,64.8945,-23.7142,41.29,85,72,21.9
62,Toppenish,US,2021-04-02 21:26:32,46.3774,-120.3087,64.4,27,1,4.18
63,Hilo,US,2021-04-02 21:23:15,19.7297,-155.09,80.6,54,1,9.22
64,New Norfolk,AU,2021-04-02 21:26:33,-42.7826,147.0587,63.0,59,0,10.36
65,Mahebourg,MU,2021-04-02 21:26:33,-20.4081,57.7,75.2,100,40,3.44
66,Koppang,NO,2021-04-02 21:26:33,61.5706,11.0555,26.49,82,57,6.76
67,Sitka,US,2021-04-02 21:21:45,57.0531,-135.33,37.4,81,90,1.48
68,Dekar,BW,2021-04-02 21:26:34,-21.5333,21.9333,71.76,36,6,5.37
69,Puerto Ayora,EC,2021-04-02 21:26:34,-0.7393,-90.3518,80.6,83,40,9.22
70,Thies,SN,2021-04-02 21:26:34,14.8342,-17.1061,77.0,47,20,9.22
71,Mount Isa,AU,2021-04-02 21:26:35,-20.7333,139.5,69.8,46,0,6.91
72,Grand Baie,MU,2021-04-02 21:26:35,-20.0182,57.5802,77.0,84,5,3.0
73,Cayenne,GF,2021-04-02 21:26:35,4.9333,-52.3333,77.0,88,0,8.05
74,Souillac,MU,2021-04-02 21:26:36,-20.5167,57.5167,75.2,100,40,3.44
75,Broken Hill,AU,2021-04-02 21:26:36,-31.95,141.4333,60.8,59,0,5.75
76,Batagay,RU,2021-04-02 21:26:36,67.6333,134.6333,-0.72,97,100,5.44
77,Luoyang,CN,2021-04-02 21:26:37,34.6836,112.4536,54.0,21,100,1.16
78,Tilichiki,RU,2021-04-02 21:26:37,60.4667,166.1,4.33,89,79,4.25
79,Abu Kamal,SY,2021-04-02 21:26:37,34.4506,40.9171,53.85,58,52,15.9
80,Ribeira Grande,PT,2021-04-02 21:26:37,38.5167,-28.7,60.8,82,75,17.27
81,Atuona,PF,2021-04-02 21:26:38,-9.8,-139.0333,80.51,80,23,13.47
82,Guerrero Negro,MX,2021-04-02 21:26:38,27.9769,-114.0611,67.71,55,0,18.95
83,Multai,IN,2021-04-02 21:26:38,21.7667,78.25,77.58,9,1,2.93
84,Timmins,CA,2021-04-02 21:25:47,48.4669,-81.3331,41.0,19,40,6.91
85,Havoysund,NO,2021-04-02 21:22:11,70.9963,24.6622,35.6,87,90,6.91
86,Saint-Philippe,RE,2021-04-02 21:26:39,-21.3585,55.7679,77.0,88,75,14.97
87,Yellowknife,CA,2021-04-02 21:26:39,62.456,-114.3525,8.01,78,90,6.91
88,Chokurdakh,RU,2021-04-02 21:26:39,70.6333,147.9167,-20.97,100,97,3.15
89,Jamestown,US,2021-04-02 21:26:40,42.097,-79.2353,36.0,34,1,16.11
90,Carnarvon,AU,2021-04-02 21:26:40,-24.8667,113.6333,77.0,94,22,10.36
91,Kodiak,US,2021-04-02 21:26:41,57.79,-152.4072,37.4,30,40,3.44
92,Valparaiso,CL,2021-04-02 21:26:41,-33.0393,-71.6273,69.8,52,92,9.22
93,Airai,TL,2021-04-02 21:26:41,-8.9266,125.4092,60.75,97,100,3.09
94,Cabedelo,BR,2021-04-02 21:26:42,-6.9811,-34.8339,80.6,78,0,6.91
95,Kruisfontein,ZA,2021-04-02 21:26:42,-34.0033,24.7314,55.0,94,0,1.01
96,Altamont,US,2021-04-02 21:26:42,42.2068,-121.7372,68.0,14,1,17.27
97,Nanortalik,GL,2021-04-02 21:26:42,60.1432,-45.2371,35.98,98,100,2.82
98,Praia Da Vitoria,PT,2021-04-02 21:26:43,38.7333,-27.0667,60.01,100,75,23.44
99,Barrow,US,2021-04-02 21:26:43,71.2906,-156.7887,-16.6,69,1,5.75
100,Torbay,CA,2021-04-02 21:26:43,47.6666,-52.7314,42.8,93,75,14.97
101,Aljezur,PT,2021-04-02 21:26:44,37.3191,-8.8033,55.58,93,11,6.76
102,Gariaband,IN,2021-04-02 21:26:44,20.635,82.0614,74.32,12,1,1.72
103,Leningradskiy,RU,2021-04-02 21:26:44,69.3833,178.4167,-15.2,98,100,2.53
104,Talnakh,RU,2021-04-02 21:26:44,69.4865,88.3972,-17.3,86,19,6.13
105,Saint Anthony,US,2021-04-02 21:23:14,45.0205,-93.218,61.0,21,1,24.16
106,Vila Franca Do Campo,PT,2021-04-02 21:26:45,37.7167,-25.4333,60.8,88,75,14.97
107,Alice Springs,AU,2021-04-02 21:26:45,-23.7,133.8833,55.4,82,0,5.75
108,Busselton,AU,2021-04-02 21:26:45,-33.65,115.3333,63.0,83,100,1.99
109,Dingle,PH,2021-04-02 21:26:46,10.9995,122.6711,74.73,91,91,7.07
110,Hobart,AU,2021-04-02 21:26:46,-42.8794,147.3294,63.0,59,0,10.36
111,Nuuk,GL,2021-04-02 21:26:46,64.1835,-51.7216,17.6,86,75,14.97
112,Sorland,NO,2021-04-02 21:26:46,67.667,12.6934,33.8,75,75,12.66
113,Tutoia,BR,2021-04-02 21:26:47,-2.7619,-42.2744,80.01,80,62,8.08
114,Beringovskiy,RU,2021-04-02 21:22:03,63.05,179.3167,8.17,86,98,13.6
115,Basco,PH,2021-04-02 21:22:36,20.4487,121.9702,79.66,75,70,10.69
116,Tual,ID,2021-04-02 21:26:47,-5.6667,132.75,82.27,76,100,16.98
117,Salalah,OM,2021-04-02 21:26:47,17.0151,54.0924,78.8,44,0,5.75
118,Tautira,PF,2021-04-02 21:26:48,-17.7333,-149.15,87.8,66,20,6.91
119,Lompoc,US,2021-04-02 21:26:48,34.6391,-120.4579,66.0,63,33,9.22
120,Tabas,IR,2021-04-02 21:26:48,33.5959,56.9244,76.62,27,98,14.23
121,Chor,PK,2021-04-02 21:26:49,25.5167,69.7667,81.46,30,0,8.7
122,Kumano,JP,2021-04-02 21:26:49,34.3442,132.5894,57.2,82,0,10.36
123,Changqing,CN,2021-04-02 21:26:49,36.5575,116.7272,51.01,88,100,1.01
124,Emerald,AU,2021-04-02 21:26:49,-23.5333,148.1667,68.0,68,0,16.11
125,Mpulungu,ZM,2021-04-02 21:26:50,-8.7623,31.1141,72.19,76,5,6.42
