City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mazatlan,MX,23.2167,-106.4167,86.0,37,20,6.91,few clouds
80,Geraldton,AU,-28.7667,114.6,71.6,64,36,10.36,scattered clouds
81,Port Shepstone,ZA,-30.7414,30.455,64.18,75,75,5.55,broken clouds
82,Pakpattan,PK,30.341,73.3866,66.85,11,24,7.7,few clouds
83,Nago,JP,26.5881,127.9761,71.6,88,90,10.36,overcast clouds
84,Gornopravdinsk,RU,60.05,69.9,31.98,88,92,9.08,overcast clouds
85,Mahebourg,MU,-20.4081,57.7,78.8,89,40,4.61,light rain
86,Pevek,RU,69.7008,170.3133,-11.92,96,98,5.59,overcast clouds
87,Horodnya,UA,51.8909,31.5974,36.18,82,93,3.94,overcast clouds
88,Bethel,US,41.3712,-73.414,44.6,29,1,3.0,clear sky
89,Pendra,IN,22.7667,81.95,66.06,11,0,3.71,clear sky
90,Gravdal,NO,68.1214,13.5031,34.7,99,100,10.69,light snow
91,Thompson,CA,55.7435,-97.8558,42.8,36,20,5.75,few clouds
92,Mackay,AU,-21.15,149.2,73.99,88,90,11.5,overcast clouds
93,Talnakh,RU,69.4865,88.3972,-14.93,83,6,9.4,clear sky
94,Andenes,NO,69.3143,16.1194,32.0,80,100,20.71,moderate rain
95,Bambous Virieux,MU,-20.3428,57.7575,81.0,89,40,4.61,light rain
96,Jamestown,US,42.097,-79.2353,44.6,29,90,4.61,overcast clouds
97,Tazovskiy,RU,67.4667,78.7,22.33,97,99,6.51,light snow
98,Teya,RU,60.3778,92.6267,27.46,93,100,5.86,overcast clouds
99,Zhigansk,RU,66.7697,123.3711,-7.29,96,97,4.32,overcast clouds
100,Hami,CN,42.8,93.45,50.49,14,100,4.21,overcast clouds
101,Viedma,AR,-40.8135,-62.9967,74.14,43,31,12.33,scattered clouds
102,Busselton,AU,-33.65,115.3333,63.0,92,100,5.99,light rain
103,Alice Springs,AU,-23.7,133.8833,75.2,38,0,5.75,clear sky
104,Albany,US,42.6001,-73.9662,42.8,36,40,8.05,scattered clouds
105,Ilulissat,GL,69.2167,-51.1,3.2,72,40,6.91,scattered clouds
106,Natal,BR,-5.795,-35.2094,77.0,94,40,3.44,scattered clouds
107,Avarua,CK,-21.2078,-159.775,84.2,74,40,11.5,scattered clouds
108,Ponta Do Sol,PT,32.6667,-17.1,59.0,66,31,1.01,scattered clouds
109,Marsh Harbour,BS,26.5412,-77.0636,67.41,58,3,23.94,clear sky
110,Maarianhamina,AX,60.0973,19.9348,42.8,65,0,6.91,clear sky
111,Youghal,IE,51.95,-7.8506,41.0,87,20,4.61,few clouds
112,Hilo,US,19.7297,-155.09,75.2,73,90,6.91,moderate rain
113,Mecca,SA,21.4267,39.8261,69.71,52,1,9.78,clear sky
114,Punta Alta,AR,-38.8759,-62.0736,70.3,54,46,14.56,scattered clouds
115,Nikolskoye,RU,59.7035,30.7861,35.01,86,0,4.47,light snow
